id,polar_id,spg1,polar_id2,spg2,polar_id1,natom,de,time,dist1,dist2,diff,label
 484, mp-553881,     7,  mp-10064 ,   225, O2Si         ,     12,   0.911,   18.5,   2.086,   1.082, -1.004, new
 486, mp-868339,     9,  mp-868378,    15, LiNi4O12P3   ,     80,   0.005,    0.6,   1.515,   1.002, -0.513, new
 488, mp-626791,    26,  mp-626796,    62, HO2V         ,     16,   0.005,    0.1,   0.134,   0.230,  0.096, new
 490, mp-626791,    26,  mp-626787,    62, HO2V         ,     16,  -0.003,    0.1,   0.149,   0.230,  0.081, new
 492, mp-772673,    33,  mp-761990,    63, LiNiO4P      ,     28,   0.044,    0.2,   1.712,   1.316, -0.396, new
 494, mp-25156 ,   186,  mp-510616,   194, NaO11V6      ,     36,  -0.000,    0.1,   0.260,   0.127, -0.133, new
 496, mp-568864,     5,  mp-568887,    12, Cl3CrRb      ,     40,   0.006,    0.4,   0.333,   0.257, -0.076, new
 498, mp-568231,   185,  mp-29763 ,   194, Br3MnRb      ,     30,   0.001,    0.1,   0.475,   0.388, -0.087, new
 500, mp-19267 ,   185,  mp-19156 ,   194, BaMnO3       ,     30,   0.008,    0.1,   0.571,   0.454, -0.117, new
 502, mp-761391,     4,  mp-25507 ,    62, CrLiO4P      ,     28,  -0.003,    0.4,   0.463,   0.959,  0.496,+++++ new
 504, mp-31917 ,    29,  mp-565322,   219, B7IMn3O13    ,     96,   0.005,    0.4,   0.471,   0.375, -0.096, new
 506, mvc-13999,   185,  mvc-11097,   194, CrO3         ,     24,   0.413,    0.2,   2.260,   0.654, -1.606, new
 508, mp-555525,    33,  mp-5779  ,    63, O7RuSm3      ,     88,   0.006,    2.3,   0.564,   0.524, -0.040, new
 510, mp-555639,    33,  mp-5447  ,    63, O7OsSm3      ,     88,   0.014,    1.8,   0.573,   0.540, -0.033, new
 512, mp-625109,     7,  mp-625108,    14, H5NO2        ,     32,   0.002,    1.5,   0.768,   0.840,  0.072, new
 514, mvc-12012,     5,  mvc-11366,    15, CoO6Si2      ,     36,   0.002,    0.1,   0.099,   0.224,  0.125, new
 516, mvc-12661,     6,  mvc-15076,    62, Fe2O4Zn      ,     28,   0.000,    0.1,   0.131,   0.171,  0.040, new
 518, mvc-12583,     8,  mvc-8188 ,    12, CaFe2O4      ,     28,   0.027,    0.1,   1.153,   0.830, -0.323, new
 520, mp-753171,     7,  mp-753123,    64, CuF4Li2      ,     14,   0.009,    0.2,   1.474,   1.308, -0.166, new
 522, mp-553955,     9,  mp-714906,   167, O3V2         ,     20,   0.003,    0.1,   0.868,   0.250, -0.618, new
 524, mp-629088,     4,  mp-505740,    11, Eu2GeSe4     ,     14,   0.016,    0.1,   0.405,   0.363, -0.042, new
 526, mp-667381,     3,  mp-581090,    12, Ba3C5Ce2F2O15,    108,   0.000,    1.0,   0.000,   0.244,  0.244, new
 528, mp-22809 ,     4,  mp-11170 ,    11, CeKS4Si      ,     14,   0.000,    0.1,   0.303,   0.242, -0.061, new
 530, mp-765204,     4,  mp-763085,    14, F7LiMn2      ,     40,  -0.013,    1.1,   0.900,   0.790, -0.110, new
 532, mp-625314,     4,  mp-625269,    19, FeHO2        ,     16,  -0.014,    1.1,   2.073,   0.499, -1.574, new
 534, mp-761753,     4,  mp-18915 ,    62, CoLiO4P      ,     28,  -0.038,    0.6,   1.025,   0.990, -0.035, new
 536, mp-976139,    25,  mp-976254,   221, Li3Mg        ,      4,   0.000,    0.1,   0.000,   0.441,  0.441, new
 538, mp-571305,     5,  mp-568857,    15, Cl3CuRb      ,     40,   0.000,    0.2,   0.052,   0.053,  0.001, new
 540, mp-568864,     5,  mp-30027 ,    15, Cl3CrRb      ,     40,  -0.001,    0.1,   0.138,   0.099, -0.039, new
 542, mp-639335,     6,  mp-655834,    55, BrMnSbSe2    ,     40,   0.015,    0.1,   0.906,   0.203, -0.703, new
 544, mp-761193,     9,  mp-26741 ,    15, Cu4LiO12P3   ,     80,  -0.046,    0.2,   1.810,   0.982, -0.828, new
 548, mp-32021 ,     9,  mp-853253,    15, LiMn4O12P3   ,     80,   0.024,    1.0,   1.319,   0.796, -0.523, new
 550, mp-777891,    31,  mp-778352,    62, F4FeLi       ,     48,   0.004,    0.8,   1.672,   1.140, -0.532, new
 552, mp-649957,    33,  mp-639719,    62, Cu3Mo2O9     ,     56,   0.000,    0.1,   0.000,   0.111,  0.111, new
 554, mp-651772,    33,  mp-28500 ,    62, Te5U         ,     24,   0.000,    0.1,   0.000,   0.134,  0.134, new
 556, mp-752507,    33,  mp-758750,    63, CuLiO4P      ,     28,   0.037,    0.2,   1.493,   1.163, -0.330, new
 558, mp-757209,    33,  mp-25449 ,    62, CuLiO4P      ,     28,  -0.034,    0.1,   1.799,   1.378, -0.421, new
 560, mp-23558 ,    34,  mp-558712,    52, Ag2BiO3      ,     24,   0.005,    0.1,   0.188,   0.182, -0.006, new
 562, mp-19042 ,    36,  mp-19610 ,    63, Ca3Mn2O7     ,     48,   0.010,    0.0,   0.389,   0.340, -0.049, new
 564, mp-685146,    36,  mp-2388  ,   225, CdTe         ,      8,   0.000,    2.3,   0.000,   0.850,  0.850, new
 570, mp-704745,    38,  mp-31217 ,    65, Cu8O         ,     18,   0.000,    0.1,   0.000,   0.511,  0.511, new
 572, mp-566483,    44,  mp-558817,    74, F7FeNa2Ni    ,     44,   0.000,    0.1,   0.058,   0.048, -0.010, new
 576, mp-973320,    44,  mp-973308,   139, In3Mg        ,      8,   0.000,    0.1,   0.000,   0.509,  0.509, new
 578, mp-675078,    79,  mp-27660 ,    87, BaFe2S4      ,     14,   0.000,    0.0,   0.000,   0.333,  0.333, new
 580, mp-675078,    79,  mp-676036,    97, BaFe2S4      ,     14,   0.023,    0.1,   0.845,   0.574, -0.271, new
 582, mp-43    ,   102,  mp-93    ,   136, U            ,     30,   0.011,    0.1,   0.233,   0.235,  0.002, new
 584, mp-849081,   146,  mp-555569,   148, Cr2S3        ,     30,   0.021,    0.0,   0.409,   0.172, -0.237, new
 586, mp-569978,   160,  mp-29474 ,   166, Cl8Na2Ti3    ,     39,   0.051,    0.0,   0.575,   0.364, -0.211, new
 588, mp-568266,   186,  mp-11581 ,   194, As2NiTm2     ,     10,  -0.002,    0.0,   0.214,   0.214,  0.000, new
 590, mp-619128,   186,  mp-25790 ,   194, O11PbV6      ,     36,   0.002,    0.1,   0.395,   0.248, -0.147, new
 592, mp-613442,   173,  mp-545343,   182, ILiO3        ,     10,   0.237,    0.0,   0.720,   0.470, -0.250, new
 594, mp-22955 ,   173,  mp-545343,   182, ILiO3        ,     10,   0.237,    0.0,   0.635,   0.470, -0.165, new
 596, mp-22683 ,   186,  mp-22761 ,   194, CeCuSn       ,      6,   0.009,    0.0,   0.360,   0.262, -0.098, new
 598, mp-22953 ,   186,  mp-22960 ,   194, BiCuYb       ,      6,   0.034,    0.0,   0.571,   0.398, -0.173, new
 600, mp-567768,   186,  mp-5111  ,   194, CuGeYb       ,      6,   0.000,    0.0,   0.051,   0.086,  0.035, new
 602, mp-11701 ,   186,  mp-9439  ,   194, CuSbYb       ,      6,   0.000,    0.0,   0.000,   0.352,  0.352, new
 604, mp-610955,   186,  mp-570326,   194, Cl3CrCs      ,     10,  -0.000,    0.0,   0.072,   0.094,  0.022, new
 606, mp-559694,   160,  mp-2885  ,   216, GaMo4S8      ,     39,   0.000,    0.1,   0.000,   0.104,  0.104, new
 608, mp-22995 ,   146,  mp-558189,   221, Ag3IS        ,     15,   0.050,    0.2,   0.627,   0.587, -0.040, new
 610, mp-29314 ,   185,  mp-570099,   194, Br3RbV       ,     30,   0.000,    0.0,   0.235,   0.208, -0.027, new
 612, mp-771123,   185,  mp-769970,   194, FeO3Sc       ,     30,   0.015,    0.1,   0.460,   0.339, -0.121, new
 614, mp-715553,     1,  mp-714880,    58, O2V          ,     12,  -0.069,   12.1,   1.757,   0.951, -0.806, new
 616, mp-19385 ,   185,  mp-19227 ,   194, MnO3Y        ,     30,   0.021,    0.1,   0.351,   0.288, -0.063, new
 618, mp-19385 ,   185,  mvc-11553,   194, MnO3Y        ,     30,   0.021,    0.1,   0.353,   0.288, -0.065, new
 620, mp-569051,    29,  mp-100890,1  225, H2Mg         ,     12,   0.068,    2.7,   0.994,   0.804, -0.190, new
 622, mvc-3774 ,   185,  mvc-13532,   194, AlCoO3       ,     30,   0.042,    0.1,   0.785,   0.449, -0.336, new
 624, mp-3451  ,    36,  mp-4227  ,   194, BaS3V        ,     20,   0.014,    0.0,   0.315,   0.285, -0.030, new
 626, mp-567394,   160,  mp-5584  ,   216, GaMo4Se8     ,     39,   0.005,    0.1,   0.156,   0.093, -0.063, new
 628, mp-554868,   160,  mp-3861  ,   216, AlMo4S8      ,     39,   0.002,    0.1,   0.123,   0.055, -0.068, new
 630, mvc-3775 ,   185,  mvc-13996,   194, AlCrO3       ,     30,  -0.000,    0.1,   0.368,   0.288, -0.080, new
 632, mp-542817,     4,  mp-569752,    63, PtU          ,     16,   0.000,    0.1,   0.000,   0.290,  0.290, new
 634, mvc-16083,   160,  mp-3861  ,   216, AlMo4S8      ,     39,   0.002,    0.1,   0.123,   0.055, -0.068, new
 636, mvc-3431 ,   185,  mvc-13995,   194, O3TiY        ,     30,   0.026,    0.1,   0.366,   0.327, -0.039, new
 638, mvc-16316,   185,  mp-19227 ,   194, MnO3Y        ,     30,   0.021,    0.1,   0.353,   0.293, -0.060, new
 640, mp-19042 ,    36,  mp-19124 ,   139, Ca3Mn2O7     ,     48,   0.000,    0.1,   0.000,   0.423,  0.423, new
 642, mvc-12125,   160,  mp-25519 ,   166, FeO2         ,     36,   0.000,    0.3,   0.000,   0.951,  0.951, new
 644, mvc-3464 ,   185,  mvc-13971,   194, O3SnY        ,     30,   0.000,    0.1,   0.000,   0.355,  0.355, new
 646, mvc-9645 ,   160,  mp-32548 ,   225, BiO2         ,     36,   0.028,    0.1,   0.523,   0.372, -0.151, new
 648, mvc-13988,   185,  mvc-11457,   194, O3W          ,     24,   0.009,    0.1,   0.569,   0.418, -0.151, new
 650, mvc-3768 ,   185,  mvc-3569 ,   194, CrO3Y        ,     30,   0.014,    0.1,   0.303,   0.298, -0.005, new
 652, mvc-16316,   185,  mvc-11553,   194, MnO3Y        ,     30,   0.021,    0.1,   0.355,   0.293, -0.062, new
 654, mvc-3765 ,   185,  mvc-3570 ,   194, CoO3Y        ,     30,   0.063,    0.1,   0.373,   0.267, -0.106, new
 656, mvc-3769 ,   185,  mvc-3559 ,   194, MoO3Y        ,     30,   0.050,    0.1,   0.471,   0.430, -0.041, new
 658, mvc-3773 ,   185,  mvc-14342,   194, NiO3Y        ,     30,   0.000,    0.1,   0.000,   0.289,  0.289, new
 660, mp-685146,    36,  mp-1008471,   63, CdTe         ,      8,   0.175,    0.0,   1.449,   0.788, -0.661, new
 662, mp-766636,    33,  mp-761990,    63, LiNiO4P      ,     84,   0.002,    2.6,   1.410,   1.193, -0.217, new
 664, mp-995191,    38,  mp-19990 ,   123, BaO3Ti       ,     10,   0.002,    0.1,   0.094,   0.121,  0.027, Known
 666, mp-769278,     4,  mp-758750,    63, CuLiO4P      ,     28,   0.006,    0.7,   2.075,   1.240, -0.835, new
 668, mvc-3772 ,   185,  mvc-15989,   194, O3WY         ,     30,   0.000,    0.1,   0.000,   0.357,  0.357, new
 672, mvc-3770 ,   185,  mvc-13691,   194, O3VY         ,     30,   0.072,    0.1,   0.489,   0.288, -0.201, new
 674, mvc-3501 ,   185,  mvc-15945,   194, AlCuO3       ,     30,   0.034,    0.2,   0.844,   0.534, -0.310, new
 676, mvc-3776 ,   185,  mvc-14043,   194, AlNiO3       ,     30,   0.000,    0.1,   0.000,   0.308,  0.308, new
 678, mvc-3777 ,   185,  mvc-15992 ,  194, AlMnO3       ,     30,   0.001,    0.1,   0.207,   0.191, -0.016, new
 680, mp-571547,     7,  mp-567525 ,   12, AuTe2        ,     12,   0.000,    0.0,   0.000,   0.298,  0.298, new
 682, mvc-3779 ,   185,  mvc-14006 ,  194, AlMoO3       ,     30,   0.083,    0.2,   1.273,   0.838, -0.435, new
 684, mvc-13534,   185,  mvc-11096 ,  194, MoO3         ,     24,   0.003,    0.0,   0.629,   0.438, -0.191, new
 686, mp-989524,   161,  mp-989455 ,  167, LaN3W        ,     30,   0.033,    0.0,   0.243,   0.266,  0.023, new
 688, mp-762828,    33,  mp-780325 ,   63, LiMnO4Si     ,     84,  -0.002,    0.4,   0.224,   0.226,  0.002, new
 690, mp-999317,    31,  mp-1009496,  216, NOs          ,      4,   0.000,    0.0,   0.000,   0.421,  0.421, new
 692, mp-567072,    36,  mp-510616 ,  194, NaO11V6      ,     72,   0.016,    0.1,   0.269,   0.279,  0.010, new
 694, mp-27442 ,     5,  mp-676553 ,   12, CrI3Rb       ,     40,   0.003,    0.1,   0.396,   0.304, -0.092, new
 696, mp-571305,     5,  mp-569526 ,  194, Cl3CuRb      ,     40,   0.026,    0.3,   0.699,   0.490, -0.209, new
 698, mp-676117,    31,  mp-35841  ,  216, CuGeLi2      ,      8,   0.000,    0.1,   0.000,   0.153,  0.153, new
 700, mp-625996,     6,  mp-23891  ,   63, HNaO         ,      6,  -0.070,    0.1,   1.508,   1.241, -0.267, new
 702, mp-684653,    31,  mp-22297  ,  216, Cu2Se        ,      6,   0.000,    0.7,   0.000,   1.480,  1.480, new
 704, mp-653633,     9,  mp-653454 ,   62, Cl4K2Zn      ,    336,   0.000,   44.9,   0.000,   0.854,  0.854, new
 706, mp-579836,    29,  mp-567153 ,  219, B7BrMn3O13   ,     96,   0.009,    0.5,   0.509,   0.468, -0.041, new
 708, mp-683963,    33,  mp-17237  ,   63, Gd3O7Ru      ,     88,   0.000,    2.4,   0.000,   0.516,  0.516, new
 710, mp-7526  ,   107,  mp-475    ,  225, PSn          ,      4,   0.011,    0.1,   0.457,   0.224, -0.233, new
 712, mp-676597,    36,  mp-27363  ,  194, BaSe3V       ,     20,   0.015,    0.0,   0.337,   0.317, -0.020, new
 714, mp-690866,     4,  mp-868359 ,   62, LiMnO4P      ,     28,   0.041,    0.4,   2.552,   1.489, -1.063, new
 716, mp-567430,   185,  mp-569753 ,  194, Cl3CoTl      ,     30,   0.001,    0.0,   0.290,   0.231, -0.059, new
 718, mp-567291,    33,  mp-16825  ,   63, Gd3O7Os      ,     88,   0.000,    2.8,   0.000,   0.550,  0.550, new
 720, mvc-3476 ,   185,  mvc-15935 ,  194, AgAlO3       ,     30,   0.240,    0.3,   1.112,   0.855, -0.257, new
 722, mvc-3466 ,   185,  mvc-13964 ,  194, AlO3Ti       ,     30,  -0.003,    0.1,   0.371,   0.298, -0.073, new
 724, mp-715557,     8,  mp-19066  ,   65, O8W3         ,     44,   0.015,    2.7,   1.733,   0.086, -1.647, new
 726, mvc-13841,    40,  mp-1008922,  225, CuN          ,      8,   0.000,    0.7,   0.000,   1.197,  1.197, new
 728, mp-640286,     4,  mp-655580 ,   19, CeCu4Sn      ,     24,   0.000,    0.2,   0.000,   1.432,  1.432, new
 730, mvc-15478,    40,  mp-1009078,  225, CoN          ,      8,   0.000,    2.4,   0.000,   1.135,  1.135, new
 732, mvc-10916,     8,  mvc-14934 ,  216, CaFeO6W      ,     18,   0.000,    0.1,   0.053,   0.050, -0.003, new
 736, mvc-15005,     5,  mvc-11366 ,   15, CoO6Si2      ,     36,   0.002,    0.1,   0.099,   0.224,  0.125, new
 738, mvc-12582,     8,  mvc-8188  ,   12, CaFe2O4      ,     28,   0.026,    0.1,   1.117,   0.830, -0.287, new
